Packet Number,Time,Battery Voltage,Altitude,Temperature,Humidity,Lux,State,alt_th
260,3607,3.521437,65504,20,42,839,3,234
261,3608,3.442536,65504,20,42,823,3,234
262,3609,3.533895,65504,20,42,841,3,234
263,3611,3.525589,65504,20,42,844,3,234
264,3612,3.434231,65504,20,42,820,3,234
265,3613,3.550505,65504,20,42,851,3,234
266,3614,3.504826,65503,20,42,843,3,234
267,3615,3.508979,65504,20,42,829,3,234
268,3616,3.513131,65503,20,42,851,3,234
269,3617,3.508979,65504,20,42,828,3,234
270,3618,3.504826,65503,20,42,842,3,234
271,3620,3.471605,65504,20,42,836,3,234
272,3621,3.442536,65504,20,42,843,3,234
273,3622,3.438384,65504,20,42,843,3,234
274,3623,3.517284,65504,20,42,851,3,234
275,3624,3.504826,65504,20,42,824,3,234
276,3625,3.425926,65504,20,42,841,3,234
277,3627,3.475758,65504,20,42,841,3,234
278,3630,3.513131,65504,20,43,833,3,234
279,3631,3.550505,65504,20,43,850,3,234
280,3632,3.513131,65503,20,43,840,3,234
281,3633,3.521437,65503,20,43,840,3,234
282,3634,3.521437,65504,20,43,841,3,234
283,3636,3.459147,65505,20,43,842,3,234
284,3637,3.434231,65504,20,43,833,3,234
285,3638,3.529742,65504,20,43,832,3,234
286,3639,3.504826,65504,20,43,822,3,234
287,3640,3.504826,65503,20,43,842,3,234
288,3641,3.425926,65504,20,43,841,3,234
289,3644,3.500673,65504,20,43,839,3,234
290,3645,3.554658,65504,20,43,842,3,234
291,3646,3.442536,65504,20,43,851,3,234
292,3647,3.517284,65504,20,43,840,3,234
293,3648,3.554658,65504,20,43,830,3,234
294,3649,3.529742,65504,20,43,841,3,234
295,3650,3.508979,65505,20,43,840,3,234
296,3652,3.504826,65505,20,43,837,3,234
297,3653,3.533895,65504,20,43,817,3,234
298,3654,3.421773,65505,20,43,837,3,234
299,3655,3.521437,65504,19,42,818,3,234
300,3656,3.492368,65504,19,42,841,3,234
301,3657,3.463300,65505,19,42,843,3,234
302,3658,3.542200,65505,19,42,849,3,234
303,3659,3.525589,65504,19,42,845,3,234
304,3661,3.538047,65505,19,42,838,3,234
305,3662,3.496521,65504,19,42,820,3,234
306,3663,3.517284,65504,19,42,821,3,234
307,3664,3.450842,65504,19,43,838,3,234
308,3665,3.550505,65505,19,43,841,3,234
309,3666,3.533895,65505,19,43,840,3,234
310,3668,3.438384,65505,19,43,841,3,234
311,3669,3.500673,65504,19,43,844,3,234
312,3670,3.504826,65504,19,43,848,3,234
313,3671,3.434231,65504,19,43,838,3,234
314,3672,3.546352,65505,19,43,838,3,234
315,3673,3.508979,65504,19,43,846,3,234
316,3674,3.488215,65504,19,43,837,3,234
317,3675,3.546352,65505,19,43,834,3,234
318,3677,3.542200,65504,19,43,849,3,234
319,3678,3.504826,65504,19,43,839,3,234
320,3679,3.425926,65504,19,43,832,3,234
321,3680,3.542200,65504,19,43,822,3,234
322,3681,3.529742,65504,19,43,837,3,234
323,3682,3.542200,65504,19,42,846,3,234
324,3683,3.454994,65505,19,42,833,3,234
325,3684,3.542200,65504,19,42,839,3,234
326,3686,3.417621,65504,19,42,838,3,234
327,3687,3.546352,65505,19,42,839,3,234
328,3688,3.504826,65504,19,42,841,3,234
329,3689,3.508979,65504,19,42,839,3,234
330,3690,3.496521,65505,19,42,822,3,234
331,3691,3.538047,65505,19,42,845,3,234
332,3693,3.513131,65504,19,42,837,3,234
333,3694,3.538047,65504,19,42,829,3,234
334,3695,3.488215,65504,19,42,838,3,234
335,3696,3.542200,65504,19,42,844,3,234
336,3697,3.496521,65504,19,42,848,3,234
337,3698,3.492368,65506,19,42,837,3,234
338,3699,3.529742,65504,19,42,845,3,234
339,3700,3.504826,65504,19,42,845,3,234
340,3703,3.488215,65505,19,42,836,3,234
341,3704,3.533895,65505,19,42,846,3,234
342,3705,3.417621,65504,19,42,846,3,234
343,3706,3.492368,65504,19,42,827,3,234
344,3707,3.438384,65504,19,42,830,3,234
345,3708,3.508979,65504,19,42,823,3,234
346,3709,3.529742,65504,19,42,827,3,234
347,3711,3.504826,65504,19,42,833,3,234
348,3712,3.471605,65505,19,42,836,3,234
349,3713,3.492368,65505,19,42,845,3,234
350,3714,3.479910,65504,19,42,845,3,234
351,3715,3.492368,65504,19,42,837,3,234
352,3716,3.459147,65505,19,42,821,3,234
353,3718,3.525589,65506,19,42,833,3,234
354,3719,3.504826,65504,19,42,821,3,234
355,3720,3.467452,65505,19,42,820,3,234
356,3721,3.421773,65505,19,42,846,3,234
357,3722,3.525589,65505,19,42,839,3,234
358,3723,3.508979,65505,19,42,847,3,234
359,3724,3.438384,65505,19,42,835,3,234
360,3725,3.533895,65505,19,42,835,3,234
361,3727,3.425926,65506,19,42,834,3,234
362,3728,3.529742,65505,19,42,818,3,234
363,3729,3.484063,65505,19,42,835,3,234
364,3730,3.521437,65504,19,43,816,3,234
365,3731,3.521437,65505,19,43,817,3,234
366,3732,3.479910,65505,19,43,838,3,234
367,3733,3.500673,65505,19,43,847,3,234
368,3734,3.496521,65504,19,43,846,3,234
369,3736,3.459147,65504,19,43,840,3,234
370,3737,3.425926,65504,19,43,837,3,234
